User Input,Chatbot Response,Timestamp
hi how aRE YOU,Hey,2024-12-07 20:05:05
Recommend some best rated hotels to rent in Jammu & Kashmir,"1)The Khyber Himalayan Resort
2)Gulmarg Vivanta Dal View.
3)Srinagar Hotel Heevan.
4)Pahalgam Welcomhotel Pine-n-Peak.
5)Pahalgam.",2024-12-07 21:31:14
Recommend some best rated hotels to rent in Jammu & Kashmir,"1)The Khyber Himalayan Resort
2)Gulmarg Vivanta Dal View.
3)Srinagar Hotel Heevan.
4)Pahalgam Welcomhotel Pine-n-Peak.
5)Pahalgam.",2024-12-07 21:34:14
Recommend some best rated hotels to rent in Jammu & Kashmir,"1)The Khyber Himalayan Resort
2)Gulmarg Vivanta Dal View.
3)Srinagar Hotel Heevan.
4)Pahalgam Welcomhotel Pine-n-Peak.
5)Pahalgam.",2024-12-07 21:37:27
Recommend some best rated hotels to rent in Jammu & Kashmir,"1)The Khyber Himalayan Resort
2)Gulmarg Vivanta Dal View.
3)Srinagar Hotel Heevan.
4)Pahalgam Welcomhotel Pine-n-Peak.
5)Pahalgam.",2024-12-07 21:40:49
Recommend some best rated hotels to rent in Jammu & Kashmir,"1)The Khyber Himalayan Resort,Gulmarg 
2)Vivanta Dal View,Srinagar 
3)Hotel Heevan,Pahalgam 
4)Welcomhotel Pine-n-Peak,Pahalgam.",2024-12-07 21:44:58
Recommend some best rated hotels to rent in Jammu & Kashmir,"The following list shows some of top hotels which you can visit with your family:- 
1)The Khyber Himalayan Resort,Gulmarg 
2)Vivanta Dal View,Srinagar 
3)Hotel Heevan,Pahalgam 
4)Welcomhotel Pine-n-Peak,Pahalgam. 
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 11:06:04
Recommend some best rated hotels to rent in delhi,"The following list shows some of the top hotels which you can visit with your family:-
1) The Leela Palace, New Delhi
2) ITC Maurya, New Delhi
3) The Lodhi, New Delhi
4) Taj Palace, New Delhi
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 11:44:58
thanks alot for your help,I'm here to help. What's the problem?,2024-12-08 11:45:32
suggest me some of the top hotels in Jammu and Kashmir,"The following list shows some of the top hotels which you can visit with your family:-
1) The Khyber Himalayan Resort, Gulmarg
2) Vivanta Dal View, Srinagar
3) Hotel Heevan, Pahalgam
4) Welcomhotel Pine-n-Peak, Pahalgam
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 11:46:28
Recommend some best rated hotels to rent in Jammu & Kashmir,"The following list shows some of the top hotels which you can visit with your family:- 
1)The Khyber Himalayan Resort,Gulmarg 
2)Vivanta Dal View,Srinagar 
3)Hotel Heevan,Pahalgam 
4)Welcomhotel Pine-n-Peak,Pahalgam. 
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 19:54:28
What is A globle,I can answer questions and provide assistance,2024-12-08 20:10:03
What is A glo,I am a chatbot,2024-12-08 20:10:13
What is A glo,I can answer questions and provide assistance,2024-12-08 20:13:57
kindly tell some of the famous hotels in manipur,"The following list shows some of the top hotels which you can visit with your family:-
1) Classic Grande, Imphal
2) Hotel Imphal by Classic
3) Sangai Continental Hotel, Imphal
4) The Castle Hotel, Imphal
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 20:16:14
thanks goodbye,No problem,2024-12-08 20:16:58
goodbye,Goodbye,2024-12-08 20:17:07
goodbye,Take care,2024-12-08 20:17:19
hotels in west bengal,"The following list shows some of the top hotels which you can visit with your family:-
1) The Oberoi Grand, Kolkata
2) Taj Bengal, Kolkata
3) Raajkutir, Kolkata
4) Mayfair Tea Resort, Siliguri
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 21:05:45
west bengal,"The following list shows some of the top hotels which you can visit with your family:-
1) The Oberoi Grand, Kolkata
2) Taj Bengal, Kolkata
3) Raajkutir, Kolkata
4) Mayfair Tea Resort, Siliguri
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 21:09:09
west bengal,"The following list shows some of the top hotels which you can visit with your family:-
1) The Oberoi Grand, Kolkata
2) Taj Bengal, Kolkata
3) Raajkutir, Kolkata
4) Mayfair Tea Resort, Siliguri
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 21:09:50
hotels in west bengal,"The following list shows some of the top hotels which you can visit with your family:-
1) The Oberoi Grand, Kolkata
2) Taj Bengal, Kolkata
3) Raajkutir, Kolkata
4) Mayfair Tea Resort, Siliguri
We wish you a HAPPY JOURNEY ahead!!",2024-12-08 21:42:44
